entry_time,exit_time,direction,exit_reason,pnl_pct,size_pct,bars_held,result,ics,gatekeeper_passed,veto_soft_penalty,m1_dir,m1_score,m2_status,m2_score,m3_score,m4_status,m4_score,m5_status,m5_score,m7_score,m7_composite,eth_btc_trend,btc_trend,btc_atr_pctl,m8_status,m8_score,m9_status,m9_score,vol_regime,m10_status,m10_score,m11_status,m11_score,m12_status,m12_score,trend_dir,trend_val,cross_asset_score,session,phase0
2025-02-01 21:45:00,2025-02-02 00:30:00,SHORT,SL,0.1058,5.0,11,WIN,0.5276,True,0.06,BEARISH,0.6375,FAIL,0.15,0.5363,PASS,0.1301,PASS,0.7832,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.506,FAIL,0.15,SKIP,0.5,DOWN,-0.3282,0.5,US,0.17169038368161257
2025-02-01 23:15:00,2025-02-02 00:30:00,SHORT,SL,-1.0163,5.0,5,LOSS,0.5552,True,0.06,BEARISH,0.6375,FAIL,0.15,0.5619,PASS,0.1301,PASS,0.7819,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.506,FAIL,0.3,SKIP,0.5,DOWN,-0.3282,0.5,LATE_US,0.17169038368161257
2025-02-07 15:15:00,2025-02-07 15:45:00,SHORT,TP1,0.928,5.0,2,WIN,0.5741,True,0.1,NEUTRAL,0.5,PASS,1.0,0.6584,PASS,0.1169,PASS,0.2772,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.596,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.8283,0.5,US_OPEN,0.3561462358737747
2025-02-08 01:00:00,2025-02-08 07:45:00,SHORT,SL,0.4776,5.0,27,WIN,0.5353,True,0.0,NEUTRAL,0.55,PASS,1.0,0.5273,PASS,0.0083,PASS,0.7585,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.596,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.8411,0.5,ASIAN,0.2976861318640501
2025-02-09 17:15:00,2025-02-09 19:45:00,SHORT,TP1,1.1599,5.0,10,WIN,0.5505,True,0.1,NEUTRAL,0.575,PASS,1.0,0.8023,PASS,0.2126,PASS,0.5017,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.54,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.8176,0.5,US,0.3050906139949083
2025-02-11 19:30:00,2025-02-11 20:30:00,SHORT,SL,-0.8,5.0,4,LOSS,0.534,True,0.1,BEARISH,0.7375,PASS,1.0,0.6,PASS,0.1301,PASS,0.9228,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5585,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.6442,0.5,US,0.3206904972660316
2025-02-13 11:15:00,2025-02-13 11:30:00,SHORT,TP1,0.5328,5.0,1,WIN,0.5688,True,0.1,BEARISH,0.6375,PASS,0.8333,0.7847,PASS,0.1094,PASS,0.4918,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5025,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5079,0.5,EU,0.24058431969411456
2025-02-24 12:45:00,2025-02-24 13:30:00,SHORT,SL,-0.5502,5.0,3,LOSS,0.5667,True,0.1,BEARISH,0.675,FAIL,0.15,0.4957,PASS,0.0485,PASS,0.7921,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.7235,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.702,0.5,EU,0.3816958816307506
2025-02-26 08:00:00,2025-02-26 09:30:00,SHORT,SL,-0.8,5.0,6,LOSS,0.6103,True,0.1,NEUTRAL,0.575,PASS,1.0,0.7265,PASS,0.0044,PASS,0.2615,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.72,PASS,0.68,SKIP,0.5,STRONG_DOWN,-0.8987,0.5,EU,0.4271019389287215
2025-02-26 15:00:00,2025-02-26 17:15:00,SHORT,TP1,2.7718,5.0,9,WIN,0.6458,True,0.1,NEUTRAL,0.55,PASS,1.0,0.6648,PASS,0.0087,PASS,0.3444,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.72,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.8987,0.5,US_OPEN,0.4271019389287215
2025-02-27 11:30:00,2025-02-27 13:45:00,SHORT,TP1,0.8405,5.0,9,WIN,0.6147,True,0.1,NEUTRAL,0.525,PASS,1.0,0.8727,PASS,0.0086,PASS,0.7487,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.7725,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.9189,0.5,EU,0.38345300335976934
2025-02-27 12:00:00,2025-02-27 13:45:00,SHORT,SL,-0.8,5.0,7,LOSS,0.5925,True,0.1,BULLISH,0.5875,PASS,1.0,0.7336,PASS,0.0087,PASS,0.7487,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.7725,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.9189,0.5,EU,0.38345300335976934
2025-02-27 16:30:00,2025-02-27 18:00:00,SHORT,SL,-0.8,5.0,6,LOSS,0.5516,True,0.1,BEARISH,0.6375,PASS,1.0,0.5692,PASS,0.0044,PASS,0.6187,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.7725,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.9189,0.5,US,0.38345300335976934
2025-02-27 19:30:00,2025-02-27 20:00:00,SHORT,TP1,0.9336,5.0,2,WIN,0.5721,True,0.1,NEUTRAL,0.5125,PASS,1.0,0.6857,PASS,0.0039,PASS,0.5622,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.7725,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.9189,0.5,US,0.38345300335976934
2025-02-27 20:00:00,2025-02-27 20:45:00,SHORT,TP1,1.0028,5.0,3,WIN,0.5396,True,0.1,NEUTRAL,0.5125,PASS,1.0,0.5291,PASS,0.0044,PASS,0.5622,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.7725,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.9189,0.5,US,0.38345300335976934
2025-03-01 12:00:00,2025-03-01 16:30:00,SHORT,EARLY_EXIT,-0.577,5.0,18,LOSS,0.586,True,0.1,BEARISH,0.6375,PASS,1.0,0.6117,PASS,0.2126,PASS,0.619,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.81,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.967,0.5,EU,0.3581540794622018
2025-03-01 12:45:00,2025-03-01 16:30:00,SHORT,SL,-0.5857,5.0,15,LOSS,0.5794,True,0.1,BEARISH,0.6375,PASS,1.0,0.583,PASS,0.2126,PASS,0.6092,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.81,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.967,0.5,EU,0.3581540794622018
2025-03-01 13:30:00,2025-03-01 15:00:00,SHORT,SL,-0.8,5.0,6,LOSS,0.5734,True,0.1,BEARISH,0.6375,PASS,1.0,0.405,PASS,0.2126,PASS,0.469,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.81,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.967,0.5,EU,0.3581540794622018
2025-04-02 10:00:00,2025-04-02 15:15:00,SHORT,EARLY_EXIT,-0.5125,5.0,21,LOSS,0.5929,True,0.0,BEARISH,0.625,PASS,0.8333,0.5438,PASS,0.1301,PASS,0.555,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.776,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.7305,0.5,EU,0.4102345789983424
2025-04-02 10:30:00,2025-04-02 15:00:00,SHORT,EARLY_EXIT,-0.3583,5.0,18,LOSS,0.608,True,0.0,BEARISH,0.625,PASS,0.8333,0.618,PASS,0.13,PASS,0.5506,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.776,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.7305,0.5,EU,0.4102345789983424
2025-04-03 12:15:00,2025-04-03 13:30:00,SHORT,SL,0.6219,5.0,5,WIN,0.5266,True,0.06,BEARISH,0.6375,PASS,1.0,0.4597,PASS,0.0367,PASS,0.5616,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.776,FAIL,0.15,SKIP,0.5,STRONG_DOWN,-0.7029,0.5,EU,0.30648888473882396
2025-04-03 12:45:00,2025-04-03 13:30:00,SHORT,SL,-1.8,5.0,3,LOSS,0.5557,True,0.06,BEARISH,0.6375,PASS,1.0,0.6,PASS,0.0367,PASS,0.5616,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.776,FAIL,0.15,SKIP,0.5,STRONG_DOWN,-0.7029,0.5,EU,0.30648888473882396
2025-05-01 09:45:00,2025-05-01 10:15:00,SHORT,SL,-1.1746,5.0,2,LOSS,0.646,True,0.05,NEUTRAL,0.525,PASS,0.7083,0.5085,PASS,0.7376,PASS,0.5115,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,FAIL,0.2975,PASS,0.68,SKIP,0.5,NEUTRAL,0.1169,0.5,EU,0.23388098305501198
2025-06-01 19:00:00,2025-06-01 19:45:00,LONG,TP1,0.3151,5.0,3,WIN,0.5604,True,0.1,NEUTRAL,0.55,PASS,0.7083,0.5949,PASS,0.1301,PASS,0.4432,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.6325,SKIP,0.5,SKIP,0.5,UP,0.2903,0.5,US,0.1558014036321492
