entry_time,exit_time,direction,entry_price,exit_price,sl,tp1,tp2,tp3,pnl_pct,size_pct,bars_held,ics,m1_dir,m2_status,m4_status,m5_status,m5_score,phase0,exit_reason,reason
2025-03-01 12:00:00,2025-03-01 16:30:00,SHORT,2175.21,2187.76,2192.61168,2130.9356,2123.9634736680237,2085.528578919041,-0.5769557881767821,5.0,18,0.5860318525381798,BEARISH,PASS,PASS,PASS,0.6189956372212849,0.3581540794622018,EARLY_EXIT,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.586
2025-03-01 12:45:00,2025-03-01 16:30:00,SHORT,2181.3,2194.0765363128494,2194.0765363128494,2130.9356,2130.053473668024,2091.6185789190413,-0.5857303586324303,5.0,15,0.5794330402665098,BEARISH,PASS,PASS,PASS,0.6091715880812196,0.3581540794622018,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.579
2025-03-01 13:30:00,2025-03-01 15:00:00,SHORT,2153.0,2170.224,2170.224,2130.9356,2097.421010512287,2055.736768396502,-0.8000000000000075,5.0,6,0.5734406263028592,BEARISH,PASS,PASS,PASS,0.46901718834218964,0.3581540794622018,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.573
2025-04-02 10:00:00,2025-04-02 15:15:00,SHORT,1880.94,1890.58,1901.9808575000002,1838.5461,1848.6066923233304,1838.5461,-0.512509702595504,5.0,21,0.5928854410501928,BEARISH,PASS,PASS,PASS,0.5550143534096587,0.4102345789983424,EARLY_EXIT,M9=NEUTRAL M13=BEARISH M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.593
2025-04-02 10:30:00,2025-04-02 15:00:00,SHORT,1875.29,1882.01,1898.8565754878048,1838.5461,1842.9566923233303,1838.5461,-0.35834457603890746,5.0,18,0.6079709262689071,BEARISH,PASS,PASS,PASS,0.5506429177888137,0.4102345789983424,EARLY_EXIT,M9=NEUTRAL M13=BEARISH M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.608
2025-04-03 12:15:00,2025-04-03 13:30:00,SHORT,1788.5,1788.5,1788.5,1751.4217548399647,1739.0623397866195,1701.9840946265842,0.6219442856030521,5.0,5,0.5266050834502671,BEARISH,PASS,PASS,PASS,0.5616466682679102,0.30648888473882396,SL,M9=NEUTRAL M13=BEARISH M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.527
2025-04-03 12:45:00,2025-04-03 13:30:00,SHORT,1759.65,1791.3237000000001,1791.3237000000001,1722.5717548399648,1710.2123397866196,1673.1340946265843,-1.800000000000003,5.0,3,0.5557012874622771,BEARISH,PASS,PASS,PASS,0.5616466682679102,0.30648888473882396,SL,M9=NEUTRAL M13=BEARISH M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.556
2025-05-01 09:45:00,2025-05-01 10:15:00,SHORT,1817.53,1838.8783252941178,1838.8783252941178,1805.9043000000001,1793.8294071314413,1776.053962480022,-1.174578977739998,5.0,2,0.6459671653361007,NEUTRAL,PASS,PASS,PASS,0.5114682309720928,0.23388098305501198,SL,M9=NEUTRAL M13=BEARISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.646
2025-06-01 19:00:00,2025-06-01 19:45:00,LONG,2514.94,2522.8648000000003,2514.94,2522.8648000000003,2542.0312,2561.1976,0.31510890915887585,5.0,3,0.5603588394138247,NEUTRAL,PASS,PASS,PASS,0.44323264353916336,0.1558014036321492,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.560
2025-06-03 19:30:00,2025-06-03 22:30:00,LONG,2621.0,2608.04,2573.822,2637.8632,2663.876416986461,2696.033729726307,-0.49446776039679646,5.0,12,0.5654017736275353,NEUTRAL,PASS,PASS,PASS,0.6837838040426969,0.21815805947162065,EARLY_EXIT,M9=NEUTRAL M13=BULLISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.565
