Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-02-15 17:45:00,1987.28,1987.28,1957.9,1971.3,25529.6976,2026-02-15 17:59:59.999,50262766.720576,242998,11906.3902,23433910.743664
2026-02-15 18:00:00,1971.3,1980.07,1962.92,1974.5,8295.4633,2026-02-15 18:14:59.999,16358282.361249,100181,4317.54,8516113.208928
2026-02-15 18:15:00,1974.51,1981.36,1968.99,1971.07,9354.7495,2026-02-15 18:29:59.999,18476772.288048,63727,2135.3194,4222082.340146
2026-02-15 18:30:00,1971.07,1971.82,1955.14,1966.4,53258.7366,2026-02-15 18:44:59.999,104493752.662879,189530,16343.8277,32068673.179083
2026-02-15 18:45:00,1966.4,1966.82,1952.62,1959.24,15521.7431,2026-02-15 18:59:59.999,30390883.855617,81032,5490.0427,10747976.86082
2026-02-15 19:00:00,1959.24,1961.96,1932.68,1941.86,87019.7912,2026-02-15 19:14:59.999,168784025.573321,302171,31684.966,61451862.552378
2026-02-15 19:15:00,1941.87,1952.28,1935.97,1949.59,8579.8105,2026-02-15 19:29:59.999,16686287.333403,118270,4473.5067,8703319.987968
2026-02-15 19:30:00,1949.6,1949.92,1928.88,1935.43,9523.1069,2026-02-15 19:44:59.999,18449258.231912,118487,3875.089,7506330.898299
2026-02-15 19:45:00,1935.42,1946.38,1935.1,1942.23,6590.976,2026-02-15 19:59:59.999,12803876.901661,66405,4318.1564,8386439.277419
2026-02-15 20:00:00,1942.22,1949.92,1933.77,1948.06,5428.4446,2026-02-15 20:14:59.999,10543995.564092,56692,2857.9632,5554335.390875
2026-02-15 20:15:00,1948.05,1950.02,1939.3,1949.56,3701.9986,2026-02-15 20:29:59.999,7201958.619904,44429,1802.0106,3507131.096036
2026-02-15 20:30:00,1949.56,1958.54,1947.48,1953.15,4674.6266,2026-02-15 20:44:59.999,9133077.439956,58380,3020.9727,5901810.514768
2026-02-15 20:45:00,1953.14,1955.3,1945.49,1950.11,3184.5672,2026-02-15 20:59:59.999,6210412.251123,38950,1739.1381,3392880.965601
2026-02-15 21:00:00,1950.11,1958.94,1950.0,1957.19,2442.8389,2026-02-15 21:14:59.999,4776697.980206,54117,1518.3626,2968982.229073
2026-02-15 21:15:00,1957.19,1960.44,1953.21,1955.55,2276.4323,2026-02-15 21:29:59.999,4455846.547781,37071,1093.2902,2140173.117469
2026-02-15 21:30:00,1955.54,1965.77,1954.59,1956.03,3549.0994,2026-02-15 21:44:59.999,6955738.450251,37616,2230.6467,4371976.762114
2026-02-15 21:45:00,1956.02,1960.46,1954.08,1958.55,1726.7824,2026-02-15 21:59:59.999,3381169.552189,19748,1090.2728,2134978.137742
2026-02-15 22:00:00,1958.55,1964.76,1956.58,1960.1,1948.9616,2026-02-15 22:14:59.999,3822004.076703,26449,1112.3548,2181202.685734
2026-02-15 22:15:00,1960.11,1968.37,1959.73,1963.48,2387.923,2026-02-15 22:29:59.999,4690712.56059,30363,1701.1527,3341355.931784
2026-02-15 22:30:00,1963.49,1967.94,1962.84,1966.77,1794.5103,2026-02-15 22:44:59.999,3527096.325272,24347,957.2657,1881590.359796
2026-02-15 22:45:00,1966.77,1974.51,1962.8,1970.27,3300.1014,2026-02-15 22:59:59.999,6502343.033899,49509,1891.0499,3725828.262376
2026-02-15 23:00:00,1970.27,1970.89,1944.36,1951.69,7573.675,2026-02-15 23:14:59.999,14804598.49472,81717,3052.3805,5964385.290251
2026-02-15 23:15:00,1951.69,1959.19,1947.85,1958.49,4062.4827,2026-02-15 23:29:59.999,7933300.416649,37327,2286.2762,4465399.091872
2026-02-15 23:30:00,1958.5,1968.02,1958.49,1962.36,4718.3154,2026-02-15 23:44:59.999,9262450.261686,34717,2488.7734,4885351.651307
2026-02-15 23:45:00,1962.35,1968.01,1962.19,1966.58,2499.4505,2026-02-15 23:59:59.999,4912129.40689,35915,1473.5595,2896091.222307
2026-02-16 00:00:00,1966.59,1977.02,1964.51,1973.55,4524.0545,2026-02-16 00:14:59.999,8920068.594696,51781,2676.0367,5275908.042124
2026-02-16 00:15:00,1973.55,1979.3,1965.5,1968.85,8631.6948,2026-02-16 00:29:59.999,16994191.630225,46880,5253.8264,10342506.682664
2026-02-16 00:30:00,1968.85,1974.36,1964.86,1965.1,2401.1803,2026-02-16 00:44:59.999,4729257.109817,50402,1146.035,2257236.292477
2026-02-16 00:45:00,1965.17,1972.51,1963.35,1969.11,2044.5229,2026-02-16 00:59:59.999,4026238.865225,29840,1108.9267,2183966.762277
2026-02-16 01:00:00,1969.11,1981.2,1967.7,1972.52,4148.8037,2026-02-16 01:14:59.999,8191628.005263,51453,2412.3435,4763259.288337
2026-02-16 01:15:00,1972.52,1975.67,1965.28,1967.44,2705.3846,2026-02-16 01:29:59.999,5329910.930214,24729,1060.1111,2088897.702473
2026-02-16 01:30:00,1967.44,1969.17,1957.0,1961.4,3520.6305,2026-02-16 01:44:59.999,6906798.844018,34693,1456.9566,2858203.990285
2026-02-16 01:45:00,1961.4,1964.67,1961.12,1963.06,1421.1087,2026-02-16 01:59:59.999,2789515.768616,31148,746.5404,1465392.714324
2026-02-16 02:00:00,1963.06,1966.79,1958.02,1964.0,2246.2044,2026-02-16 02:14:59.999,4410890.481823,46805,1199.3513,2355419.928546
2026-02-16 02:15:00,1963.99,1964.18,1955.09,1956.63,2165.3257,2026-02-16 02:29:59.999,4242534.422436,37684,1146.6034,2246234.243279
2026-02-16 02:30:00,1956.63,1961.66,1955.29,1959.7,1735.7763,2026-02-16 02:44:59.999,3401609.342918,55751,967.8526,1896869.535651
2026-02-16 02:45:00,1959.7,1961.85,1952.3,1957.0,2529.3535,2026-02-16 02:59:59.999,4948984.758661,56840,1444.7115,2827385.782135
2026-02-16 03:00:00,1957.01,1959.81,1956.49,1956.5,934.3113,2026-02-16 03:14:59.999,1829547.360048,39328,562.7059,1101853.331
2026-02-16 03:15:00,1956.5,1957.63,1948.76,1951.47,2966.2122,2026-02-16 03:29:59.999,5791622.214911,34089,1091.4987,2131749.552054
2026-02-16 03:30:00,1951.48,1955.81,1948.79,1955.19,2499.335,2026-02-16 03:44:59.999,4875413.567619,25009,1380.856,2693316.693482
2026-02-16 03:45:00,1955.2,1959.48,1954.07,1958.78,2928.4631,2026-02-16 03:59:59.999,5729732.356626,17133,1938.0325,3791098.322378
2026-02-16 04:00:00,1958.78,1968.01,1958.34,1966.15,2967.752,2026-02-16 04:14:59.999,5828307.691273,38464,1818.7471,3571620.2194
2026-02-16 04:15:00,1966.15,1970.28,1965.05,1968.07,2233.2119,2026-02-16 04:29:59.999,4395559.232707,37531,1280.7508,2521067.267134
2026-02-16 04:30:00,1968.08,1969.3,1964.83,1965.8,1520.9365,2026-02-16 04:44:59.999,2990954.398771,24665,482.4339,948849.821565
2026-02-16 04:45:00,1965.8,1973.19,1965.08,1973.06,2567.8662,2026-02-16 04:59:59.999,5060656.074207,18557,1905.0092,3754545.244393
2026-02-16 05:00:00,1973.05,1974.17,1960.92,1960.95,3702.4186,2026-02-16 05:14:59.999,7288070.206839,28305,1248.5216,2455023.478502
2026-02-16 05:15:00,1960.95,1961.75,1954.71,1958.54,2154.283,2026-02-16 05:29:59.999,4218661.994429,22870,795.3129,1557478.658034
2026-02-16 05:30:00,1958.53,1959.47,1952.91,1956.18,2580.1096,2026-02-16 05:44:59.999,5047464.324753,27986,936.807,1832102.741917
2026-02-16 05:45:00,1956.18,1959.48,1955.6,1958.0,2433.326,2026-02-16 05:59:59.999,4761757.593069,12097,988.1557,1933642.637585
2026-02-16 06:00:00,1957.99,1961.26,1956.84,1959.83,959.0096,2026-02-16 06:14:59.999,1879712.033598,12389,462.9725,907487.091839
2026-02-16 06:15:00,1959.83,1961.2,1955.94,1960.23,1174.9015,2026-02-16 06:29:59.999,2301492.957451,15468,486.4862,953057.129976
2026-02-16 06:30:00,1960.23,1966.35,1959.48,1965.88,2453.3212,2026-02-16 06:44:59.999,4820051.529916,22390,1355.062,2662176.017716
2026-02-16 06:45:00,1965.88,1967.58,1963.65,1966.69,1637.2979,2026-02-16 06:59:59.999,3218692.437815,13343,518.5206,1019236.634843
2026-02-16 07:00:00,1966.69,1974.49,1964.32,1972.91,3306.4822,2026-02-16 07:14:59.999,6510342.758901,23705,1828.4594,3601027.156371
2026-02-16 07:15:00,1972.91,1978.64,1971.09,1973.97,3805.5044,2026-02-16 07:29:59.999,7512789.049153,37625,1717.8022,3391668.354895
2026-02-16 07:30:00,1973.98,1976.47,1965.32,1967.87,3262.8941,2026-02-16 07:44:59.999,6430552.206673,37767,1500.1689,2957564.479815
2026-02-16 07:45:00,1967.88,1972.48,1967.88,1971.13,1736.1667,2026-02-16 07:59:59.999,3421530.741091,19479,974.0601,1919641.278014
2026-02-16 08:00:00,1971.14,1975.35,1970.0,1970.1,2517.3017,2026-02-16 08:14:59.999,4966188.36596,20590,1530.7487,3019500.076837
2026-02-16 08:15:00,1970.1,1977.85,1970.0,1974.87,2282.9463,2026-02-16 08:29:59.999,4508787.742653,17891,1456.1732,2875995.060139
2026-02-16 08:30:00,1974.87,1975.61,1970.88,1974.39,1150.1525,2026-02-16 08:44:59.999,2269382.271018,18148,581.2859,1146948.211928
